,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,161,10,1,0,161,20,3,0
5,5,151,15,1,0,151,30,3,0
6,6,148,16,1,0,148,33,3,0
7,7,142,17,2,0,142,35,7,0
8,8,131,21,3,0,131,43,10,0
9,9,129,22,3,0,129,45,10,0
10,10,124,24,3,0,124,50,10,0
11,11,121,23,4,0,121,50,13,0
12,12,109,27,5,0,109,58,17,0
13,13,105,26,7,0,105,56,23,0
14,14,102,23,8,1,102,50,28,4
15,15,95,25,9,1,95,54,31,4
