,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,161,10,1,0,161,20,3,0
5,5,152,14,1,0,152,29,3,0
6,6,148,16,1,0,148,33,3,0
7,7,142,16,3,0,142,33,9,0
8,8,131,20,4,0,131,41,12,0
9,9,129,21,4,0,129,43,12,0
10,10,124,22,5,0,124,45,15,0
11,11,120,23,5,0,120,49,15,0
12,12,110,24,6,1,110,52,18,4
13,13,105,25,7,1,105,54,21,4
14,14,98,28,7,1,98,61,21,4
15,15,94,27,7,2,94,59,23,8
